case_id,meter_type,tage_seit_faelligkeit,rechnungsweg,kundensegment,betrag_eur,bisherige_verzugstage,kein_mahnkontakt_dokumentiert,freitext_notiz,ground_truth_label
CASE-0001,manuell,32,SEPA,B2C,1850.4,15,False,Zaehlerstand wirkt im Vergleich zum Vorjahr unplausibel,Messdatenerfassung
CASE-0002,manuell,68,SEPA,B2C,573.94,2,False,Zaehlerstand wirkt im Vergleich zum Vorjahr unplausibel,Messdatenerfassung
CASE-0003,iMSys,6,Digital,B2C,1378.28,45,False,Zahlungseingang auf falsches Kundenkonto zugeordnet,Zahlungsbuchung
CASE-0004,iMSys,80,SEPA,B2B,11502.71,112,True,Kunde reagiert seit mehreren Mahnstufen nicht,Mahnverfahren
CASE-0005,iMSys,48,SEPA,B2C,1917.01,70,True,"SEPA-Ruecklastschrift, Grund unbekannt",Mahnverfahren
CASE-0006,manuell,55,Digital,B2B,9254.03,22,False,Kunde meldet falschen Zaehlerstand seit 3 Wochen,Messdatenerfassung
CASE-0007,iMSys,73,Digital,B2C,1395.78,120,True,Kunde bestreitet Erhalt der Mahnung,Mahnverfahren
CASE-0008,iMSys,78,Post,B2C,147.96,33,False,Rechnung wurde an alte Adresse verschickt,Rechnungserstellung
CASE-0009,iMSys,15,Post,B2B,6011.83,35,False,Postversand der Rechnung nicht nachweisbar,Rechnungserstellung
CASE-0010,iMSys,25,Post,B2C,1686.98,44,False,Rechnung nie erhalten laut Kunde,Rechnungserstellung
CASE-0011,iMSys,45,Digital,B2C,437.79,34,False,"Kunde legt Zahlungsbeleg vor, Buchung fehlt im System",Zahlungsbuchung
CASE-0012,iMSys,86,Post,B2C,834.36,56,False,Rechnung nie erhalten laut Kunde,Rechnungserstellung
CASE-0013,iMSys,17,SEPA,B2C,555.07,25,False,Gateway-Fehler verhindert automatische Verbrauchsuebermittlung,Messdatenuebertragung
CASE-0014,iMSys,32,Post,B2C,2289.36,52,False,Postversand der Rechnung nicht nachweisbar,Rechnungserstellung
CASE-0015,iMSys,31,Digital,B2C,1363.58,15,False,Gateway-Fehler verhindert automatische Verbrauchsuebermittlung,Messdatenuebertragung
CASE-0016,iMSys,79,SEPA,B2C,2493.93,84,True,Kunde bestreitet Erhalt der Mahnung,Mahnverfahren
CASE-0017,iMSys,16,Digital,B2C,1581.65,116,True,Mahnschreiben kam als unzustellbar zurueck,Mahnverfahren
CASE-0018,iMSys,9,SEPA,B2C,1188.74,24,False,Verzoegerung bei der Zahlungsverbuchung im System,Zahlungsbuchung
CASE-0019,iMSys,60,Digital,B2C,1715.42,43,False,"Doppelte Zahlung durch Kunde gemeldet, Buchung ungeklaert",Zahlungsbuchung
CASE-0020,iMSys,87,Post,B2C,1106.7,42,False,Postversand der Rechnung nicht nachweisbar,Rechnungserstellung
